	0.204401	-2.268952	0.652808	0.779102
	0.170367	-2.236321	0.664494	0.688110
	0.136822	-2.203666	0.674816	0.596089
	0.103767	-2.171391	0.683757	0.503762
	0.071197	-2.139764	0.691313	0.411722
	0.039100	-2.108944	0.697489	0.320448
	0.007466	-2.079002	0.702296	0.230316
	-0.023719	-2.049946	0.705751	0.141622
	-0.054468	-2.021733	0.707875	0.054591
	-0.084794	-1.994292	0.708694	-0.030608
	-0.114709	-1.967528	0.708235	-0.113847
	-0.144222	-1.941332	0.706527	-0.195037
	-0.173342	-1.915591	0.703602	-0.274114
	-0.202075	-1.890189	0.699490	-0.351035
	-0.230428	-1.865010	0.694224	-0.425774
	-0.258403	-1.839943	0.687838	-0.498316
	-0.286003	-1.814882	0.680363	-0.568655
	-0.313226	-1.789729	0.671833	-0.636791
	-0.340072	-1.764388	0.662281	-0.702728
	-0.366538	-1.738777	0.651740	-0.766473
	-0.392619	-1.712816	0.640243	-0.828034
	-0.418311	-1.686435	0.627823	-0.887418
	-0.443608	-1.659571	0.614511	-0.944636
	-0.468502	-1.632169	0.600342	-0.999694
	-0.492984	-1.604181	0.585347	-1.052600
	-0.517047	-1.575565	0.569558	-1.103360
	-0.540680	-1.546287	0.553007	-1.151980
	-0.563875	-1.516319	0.535727	-1.198466
	-0.586619	-1.485639	0.517750	-1.242821
	-0.608904	-1.454234	0.499108	-1.285050
	-0.630717	-1.422093	0.479832	-1.325157
	-0.652049	-1.389213	0.459955	-1.363147
	-0.672887	-1.355595	0.439508	-1.399026
	-0.693221	-1.321247	0.418522	-1.432799
	-0.713040	-1.286179	0.397030	-1.464476
	-0.732332	-1.250407	0.375063	-1.494066
	-0.751089	-1.213952	0.352652	-1.521580
	-0.769298	-1.176836	0.329829	-1.547035
	-0.786950	-1.139087	0.306623	-1.570447
	-0.804037	-1.100733	0.283066	-1.591836
	-0.820548	-1.061806	0.259189	-1.611227
	-0.836475	-1.022341	0.235020	-1.628648
	-0.851810	-0.982373	0.210591	-1.644130
	-0.866545	-0.941937	0.185929	-1.657707
	-0.880674	-0.901073	0.161063	-1.669420
	-0.894191	-0.859816	0.136022	-1.679312
	-0.907088	-0.818205	0.110832	-1.687430
	-0.919361	-0.776275	0.085521	-1.693825
	-0.931005	-0.734064	0.060113	-1.698554
	-0.942016	-0.691605	0.034635	-1.701675
	-0.952390	-0.648931	0.009110	-1.703251
	-0.962124	-0.606074	-0.016439	-1.703349
	-0.971215	-0.563062	-0.041989	-1.702039
	-0.979661	-0.519922	-0.067520	-1.699395
	-0.987460	-0.476678	-0.093011	-1.695491
	-0.994610	-0.433350	-0.118443	-1.690407
	-1.001110	-0.389957	-0.143799	-1.684223
	-1.006960	-0.346514	-0.169062	-1.677024
	-1.012157	-0.303034	-0.194218	-1.668894
	-1.016703	-0.259526	-0.219251	-1.659920
	-1.020596	-0.215997	-0.244150	-1.650191
	-1.023836	-0.172451	-0.268903	-1.639795
	-1.026422	-0.128889	-0.293500	-1.628822
	-1.028356	-0.085311	-0.317932	-1.617364
	-1.029635	-0.041715	-0.342193	-1.605511
	-1.030261	0.001904	-0.366275	-1.593354
	-1.030233	0.045549	-0.390176	-1.580984
	-1.029549	0.089226	-0.413890	-1.568490
	-1.028211	0.132939	-0.437418	-1.555961
	-1.026217	0.176691	-0.460757	-1.543485
	-1.023567	0.220483	-0.483909	-1.531146
	-1.020259	0.264311	-0.506877	-1.519027
	-1.016295	0.308170	-0.529662	-1.507208
	-1.011672	0.352046	-0.552270	-1.495762
	-1.006391	0.395917	-0.574706	-1.484761
	-1.000453	0.439755	-0.596978	-1.474267
	-0.993856	0.483517	-0.619092	-1.464336
	-0.986604	0.527151	-0.641057	-1.455015
	-0.978696	0.570588	-0.662882	-1.446340
	-0.970137	0.613744	-0.684577	-1.438335
	-0.960931	0.656518	-0.706152	-1.431011
	-0.951084	0.698788	-0.727617	-1.424361
	-0.940602	0.740414	-0.748983	-1.418363
	-0.929496	0.781240	-0.770258	-1.412978
	-0.917777	0.821089	-0.791453	-1.408145
	-0.905461	0.859772	-0.812575	-1.403786
	-0.892564	0.897088	-0.833632	-1.399805
	-0.879108	0.932831	-0.854629	-1.396090
	-0.865115	0.966795	-0.875570	-1.392516
	-0.850613	0.998784	-0.896458	-1.388945
	-0.835632	1.028617	-0.917292	-1.385237
	-0.820202	1.056136	-0.938071	-1.381250
	-0.804360	1.081217	-0.958790	-1.376846
	-0.788142	1.103771	-0.979442	-1.371895
	-0.771585	1.123751	-1.000021	-1.366282
	-0.754729	1.141152	-1.020515	-1.359907
	-0.737612	1.156011	-1.040913	-1.352689
	-0.720272	1.168405	-1.061204	-1.344566
	-0.702746	1.178446	-1.081372	-1.335494
	-0.685069	1.186274	-1.101405	-1.325448
	-0.667275	1.192052	-1.121286	-1.314417
	-0.649394	1.195957	-1.141003	-1.302404
	-0.631455	1.198175	-1.160539	-1.289422
	-0.613482	1.198895	-1.179880	-1.275493
	-0.595499	1.198303	-1.199012	-1.260642
	-0.577524	1.196578	-1.217922	-1.244902
	-0.559575	1.193892	-1.236596	-1.228303
	-0.541667	1.190404	-1.255020	-1.210879
	-0.523811	1.186258	-1.273183	-1.192664
	-0.506017	1.181590	-1.291073	-1.173690
	-0.488293	1.176517	-1.308679	-1.153987
	-0.470645	1.171148	-1.325988	-1.133584
	-0.453078	1.165576	-1.342992	-1.112510
	-0.435595	1.159884	-1.359680	-1.090789
	-0.418196	1.154144	-1.376042	-1.068447
	-0.400884	1.148419	-1.392068	-1.045506
	-0.383658	1.142763	-1.407751	-1.021986
	-0.366516	1.137220	-1.423081	-0.997907
	-0.349458	1.131830	-1.438049	-0.973289
	-0.332481	1.126624	-1.452649	-0.948148
	-0.315581	1.121630	-1.466871	-0.922500
	-0.298757	1.116868	-1.480708	-0.896360
	-0.282004	1.112357	-1.494154	-0.869743
	-0.265319	1.108108	-1.507200	-0.842661
	-0.248697	1.104133	-1.519840	-0.815128
	-0.232135	1.100437	-1.532067	-0.787154
	-0.215628	1.097024	-1.543874	-0.758750
	-0.199173	1.093896	-1.555255	-0.729926
	-0.182765	1.091052	-1.566204	-0.700692
	-0.166399	1.088488	-1.576715	-0.671056
	-0.150071	1.086201	-1.586781	-0.641026
	-0.133778	1.084183	-1.596396	-0.610608
	-0.117516	1.082426	-1.605555	-0.579810
	-0.101279	1.080922	-1.614252	-0.548637
	-0.085066	1.079658	-1.622482	-0.517095
	-0.068871	1.078623	-1.630238	-0.485188
	-0.052691	1.077803	-1.637516	-0.452920
	-0.036524	1.077184	-1.644310	-0.420295
	-0.020366	1.076749	-1.650614	-0.387317
	-0.004215	1.076483	-1.656424	-0.353988
	0.011932	1.076365	-1.661734	-0.320311
	0.028077	1.076379	-1.666538	-0.286288
	0.044223	1.076502	-1.670833	-0.251922
	0.060371	1.076714	-1.674612	-0.217214
	0.076521	1.076993	-1.677870	-0.182166
	0.092676	1.077315	-1.680602	-0.146781
	0.108836	1.077655	-1.682804	-0.111060
